ticker,market_cap,lookup_status,bucket
IWM,75712061440.0,success,Large-cap
J,15033822208.0,success,Large-cap
JACK,223888992.0,success,Small-cap
JAZZ,12270825472.0,success,Large-cap
JBHT,21345095680.0,success,Large-cap
JBL,32201277440.0,success,Large-cap
JBLU,2094877312.0,success,Mid-cap
JCI,83981606912.0,success,Large-cap
JD,45527486464.0,success,Large-cap
JJSF,1510876032.0,success,Small-cap
JKHY,11102652416.0,success,Large-cap
JNJ,575170609152.0,success,Mega-cap
JOBY,8941321216.0,success,Mid-cap
JOE,3854323456.0,success,Mid-cap
JPM,825103089664.0,success,Mega-cap
JXN,7565762560.0,success,Mid-cap
K,,no_cap,
KAR,,no_cap,
KARO,1607069440.0,success,Small-cap
KBH,3228281856.0,success,Mid-cap
KBR,4653172736.0,success,Mid-cap
KD,3170307840.0,success,Mid-cap
KDP,35325317120.0,success,Large-cap
KEY,23503695872.0,success,Large-cap
KEYS,55786151936.0,success,Large-cap
KGC,40143163392.0,success,Large-cap
KHC,26054221824.0,success,Large-cap
KIM,15834986496.0,success,Large-cap
KKRDP,,no_cap,
KLAC,229688262656.0,success,Mega-cap
KLIC,4178235904.0,success,Mid-cap
KLKLF,25232986.0,success,Small-cap
KMB,32133732352.0,success,Large-cap
KMI,70526763008.0,success,Large-cap
KMPR,1910848640.0,success,Small-cap
KMX,5744280064.0,success,Mid-cap
KNTK,3219254272.0,success,Mid-cap
KO,324145774592.0,success,Mega-cap
KOF,22344318976.0,success,Large-cap
KOS,1530326656.0,success,Small-cap
KPTI,192970800.0,success,Small-cap
KR,42166738944.0,success,Large-cap
KRP,1553655424.0,success,Small-cap
KRRO,197300768.0,success,Small-cap
KTB,4001072384.0,success,Mid-cap
KTOS,13986329600.0,success,Large-cap
KVUE,33214550016.0,success,Large-cap
KW,1509263104.0,success,Small-cap
L,22713208832.0,success,Large-cap
LAD,6415946240.0,success,Mid-cap
LANDM,,no_cap,
LAZ,4669886464.0,success,Mid-cap
LB,5381020672.0,success,Mid-cap
LBYE,10212.0,success,Small-cap
LCID,2710488064.0,success,Mid-cap
LCII,2929679104.0,success,Mid-cap
LDOS,20101492736.0,success,Large-cap
LE,355680768.0,success,Small-cap
LEA,6025914368.0,success,Mid-cap
LECO,13999247360.0,success,Large-cap
LEG,1548172416.0,success,Small-cap
LEN,21782622208.0,success,Large-cap
LEU,3889454080.0,success,Mid-cap
LEVI,8564958720.0,success,Mid-cap
LGIH,908898944.0,success,Small-cap
LH,21978552320.0,success,Large-cap
LHX,66480836608.0,success,Large-cap
LI,18567553024.0,success,Large-cap
LII,16861953024.0,success,Large-cap
LIN,230742474752.0,success,Mega-cap
LION,3093395968.0,success,Mid-cap
LITE,58834313216.0,success,Large-cap
LKQ,7743044608.0,success,Mid-cap
LLY,810018865152.0,success,Mega-cap
LMT,140835389440.0,success,Large-cap
